ts,device_id,device_type,pkt_sec,bytes_sec,dest_count,avg_payload,protocol,patch_status,maintenance_days,is_anomaly
2025-09-02T10:46:07.376084,blood_pressure_monitor_01,blood_pressure_monitor,303.54,1104.07,2,690.61,unknown,patched,27,False
2025-09-02T10:46:10.195817,pacemaker_01,pacemaker,104.04,4269.74,9,30.38,unknown,patched,185,False
2025-09-02T10:46:12.193411,heart_rate_sensor_02,heart_rate_sensor,253.42,4670.24,5,237.51,unknown,patched,333,False
2025-09-02T10:46:14.185839,insulin_pump_01,insulin_pump,453.77,2312.32,16,628.2,unknown,patched,298,False
2025-09-02T10:46:16.187481,insulin_pump_01,insulin_pump,381.52,3534.25,11,328.57,unknown,unpatched,57,False
2025-09-02T10:46:18.190406,insulin_pump_01,insulin_pump,309.19,2807.87,10,85.21,unknown,patched,248,False
2025-09-02T10:46:20.197256,glucose_monitor_01,glucose_monitor,218.96,4072.76,17,39.47,unknown,patched,256,False
2025-09-02T10:46:22.190223,heart_rate_sensor_02,heart_rate_sensor,380.56,7981.1,14,725.46,unknown,patched,73,False
2025-09-02T10:46:24.196394,pacemaker_01,pacemaker,325.38,2730.6,7,835.69,unknown,patched,1,False
2025-09-02T10:46:26.187606,pacemaker_01,pacemaker,84.81,7963.65,4,1004.56,unknown,patched,289,False
2025-09-02T10:46:28.192497,heart_rate_sensor_02,heart_rate_sensor,284.57,4407.14,8,537.47,unknown,patched,323,False
2025-09-02T10:46:30.192186,pacemaker_01,pacemaker,291.31,8436.35,13,676.83,unknown,patched,232,False
2025-09-02T10:46:32.188618,glucose_monitor_01,glucose_monitor,201.3,4026.14,14,1.04,unknown,patched,231,False
2025-09-02T10:46:34.195934,heart_rate_sensor_02,heart_rate_sensor,290.4,6008.53,12,260.6,unknown,patched,22,False
2025-09-02T10:46:36.185209,heart_rate_sensor_02,heart_rate_sensor,302.45,7290.39,12,596.6,unknown,patched,91,False
2025-09-02T10:46:38.183093,glucose_monitor_01,glucose_monitor,386.64,3512.76,10,227.19,unknown,patched,10,False
2025-09-02T10:46:40.189077,pacemaker_01,pacemaker,256.19,8404.91,0,429.01,unknown,patched,196,False
2025-09-02T10:46:42.190643,insulin_pump_01,insulin_pump,497.62,1962.51,6,1013.91,unknown,patched,320,False
2025-09-02T10:46:44.185952,pacemaker_01,pacemaker,153.93,8093.88,14,390.62,unknown,patched,20,False
2025-09-02T10:46:46.194217,insulin_pump_01,insulin_pump,169.59,8190.21,5,194.87,unknown,patched,49,False
2025-09-02T10:46:48.184178,insulin_pump_01,insulin_pump,248.0,5406.72,14,971.54,unknown,patched,180,False
2025-09-02T10:46:50.188017,glucose_monitor_01,glucose_monitor,389.94,876.48,4,925.11,unknown,patched,60,False
2025-09-02T10:46:52.188070,heart_rate_sensor_02,heart_rate_sensor,431.58,9968.87,2,751.21,unknown,unpatched,188,False
2025-09-02T10:46:54.199683,pacemaker_01,pacemaker,253.59,2328.65,17,303.07,unknown,unpatched,126,False
2025-09-02T10:46:56.188689,pacemaker_01,pacemaker,288.23,3739.83,10,924.16,unknown,unpatched,94,False
2025-09-02T10:46:58.185716,blood_pressure_monitor_01,blood_pressure_monitor,138.75,6092.82,9,450.23,unknown,patched,83,False
2025-09-02T10:47:00.188037,heart_rate_sensor_02,heart_rate_sensor,365.61,8253.11,13,280.68,unknown,unpatched,337,False
2025-09-02T10:47:02.185298,heart_rate_sensor_02,heart_rate_sensor,487.15,5767.25,5,343.95,unknown,patched,174,False
2025-09-02T10:47:04.201112,pacemaker_01,pacemaker,57.95,5659.61,16,68.46,unknown,patched,269,False
2025-09-02T10:47:06.186270,heart_rate_sensor_02,heart_rate_sensor,265.48,4185.85,16,28.96,unknown,patched,12,False
2025-09-02T10:47:08.185737,insulin_pump_01,insulin_pump,105.03,4471.25,7,9.42,unknown,patched,241,False
2025-09-02T10:47:10.193320,blood_pressure_monitor_01,blood_pressure_monitor,468.01,5077.1,2,986.93,unknown,patched,221,False
2025-09-02T10:47:12.191142,insulin_pump_01,insulin_pump,253.77,8909.45,2,696.73,unknown,patched,338,False
2025-09-02T10:47:14.187138,heart_rate_sensor_02,heart_rate_sensor,343.99,5580.43,11,892.15,unknown,patched,17,False
2025-09-02T10:47:16.186380,glucose_monitor_01,glucose_monitor,170.7,2556.39,12,980.0,unknown,patched,33,False
2025-09-02T10:47:18.187333,blood_pressure_monitor_01,blood_pressure_monitor,450.12,5662.23,4,538.02,unknown,patched,108,False
2025-09-02T10:47:20.190501,blood_pressure_monitor_01,blood_pressure_monitor,74.43,8471.73,0,702.47,unknown,unpatched,179,False
2025-09-02T10:47:22.188002,blood_pressure_monitor_01,blood_pressure_monitor,150.54,228.74,2,908.05,unknown,unpatched,253,False
